name,pname,ra,dec,dist,vmag
HR 1373,,4.38222981,17.5425843,153.2,3.77
HR 1931,,5.64576814,-2.60006791,1148.46,3.77
HR 3347,,8.42895729,-66.13652042,107.97,3.77
HR 3445,,8.67710424,-46.64875492,3106.32,3.77
HR 6229,,16.82975317,-59.04131648,313.32,3.77
HR 7906,,20.66062626,15.9120527,240.71,3.77
HR 8204,,21.44445214,-22.41137838,398.25,3.77
HR 8430,,22.11679848,25.3450461,38.35,3.77
HR 2736,,7.14578458,-70.49919435,141.69,3.78
HR 2821,,7.42879891,27.79828561,125.93,3.78
HR 3888,,9.84991436,59.03910437,115.05,3.78
HR 4257,,10.89154617,-58.85326474,96.76,3.78
HR 5477,,14.68581121,13.72833113,180.5,3.78
HR 7950,,20.79459238,-9.49568988,229.53,3.78
HR 941,,3.1582303,44.85788896,112.28,3.79
HR 4247,,10.88851107,34.21556641,97.65,3.79
HR 963,,3.20118888,-28.98910623,46.03,3.8
HR 2948,,7.64718924,-26.8038924,454.27,3.8
HR 5788,,15.58005284,10.53885916,209.89,3.8
HR 7328,,19.28503052,53.36816064,123.17,3.8
HR 7735,,20.22719518,46.74132417,1353.37,3.8
HR 1464,,4.59251991,-30.56231049,208.81,3.81
HR 4114,,10.4646514,-58.73940856,1042.06,3.81
HR 5849,,15.71239951,26.29551419,145.09,3.81
HR 8961,,23.62602991,46.45917621,84.19,3.81
HR 595,,2.03411128,2.76376048,139.09,3.82
HR 3690,,9.31407426,36.80289763,121.93,3.82
HR 4434,,11.52341346,69.33112161,334.18,3.82
HR 6149,,16.51523367,1.98410056,166.16,3.82
HR 6588,,17.65774789,46.00632216,495.69,3.82
HR 4094,,10.43486251,-16.83609584,248.22,3.83
HR 5248,,13.97119018,-42.10070526,465.28,3.83
HR 5470,,14.79770171,-79.04471242,411.3,3.83
HR 1131,,3.73864623,32.28827325,1475.85,3.84
HR 1175,,3.73654302,-64.80709398,99.71,3.84
HR 1411,,4.4762312,15.96221721,157.87,3.84
HR 3571,,8.91746157,-60.64471195,312.12,3.84
HR 4133,,10.5468542,9.30659431,5722.16,3.84
HR 4167,,10.62173798,-48.22561631,86.49,3.84
HR 4773,,12.54114193,-72.1329759,323.9,3.84
HR 6779,,18.12570854,28.76247025,347.35,3.84
HR 6812,,18.2293913,-21.05883031,29651.21,3.84
HR 7582,,19.8028371,70.26783533,145.61,3.84
HR 1326,,4.23335592,-42.29387294,117.11,3.85
HR 2020,,5.7880787,-51.06671329,62.88,3.85
HR 2296,,6.36856809,-33.43627251,237.21,3.85
HR 4023,,10.24563159,-42.12206281,102.83,3.85
HR 4787,,12.55806736,69.78820992,497.96,3.85
HR 4802,,12.62842439,-48.54128816,131.68,3.85
HR 5933,,15.94083173,15.66473327,36.27,3.85
HR 6895,,18.39493521,21.77034249,128.41,3.85
HR 6973,,18.58678829,-8.24330819,174.23,3.85
HR 269,,0.94586046,38.49925513,136.3,3.86
HR 1481,,4.63635303,-14.303587,109.3,3.86
HR 1862,,5.5202043,-35.47043592,277.11,3.86
HR 6030,,16.25729615,-63.68564897,621.26,3.86
HR 6102,,16.55762893,-78.89695917,159.57,3.86
HR 6695,,17.93754959,37.25052158,669.74,3.86
HR 8518,,22.36091665,-1.38735315,157.8,3.86
HR 1149,,3.76377586,24.36785796,360,3.87
HR 3487,,8.7671263,-46.0415392,1553.16,3.87
HR 5249,,13.97799204,-44.8035314,417.62,3.87
HR 5487,,14.71765618,-5.6574291,60.92,3.87
HR 5928,,15.94807962,-29.21401221,409.24,3.87
HR 7570,,19.8745455,1.00567827,1173.25,3.87
HR 25,,0.15681663,-45.74698836,140.1,3.88
HR 546,,1.892157,19.29409264,204.36,3.88
HR 3905,,9.87943268,26.00708498,133.02,3.88
HR 5646,,15.19893362,-48.73770212,182.32,3.88
HR 8820,,23.17261887,-45.24664747,185,3.88
HR 874,,2.94044549,-8.89760976,133.18,3.89
HR 2580,,6.90220967,-24.18422296,1976.75,3.89
HR 3665,,9.23938701,2.31502422,128.71,3.89
HR 4689,,12.33177539,-0.66674709,249.74,3.89
HR 7615,,19.93844337,35.08349079,139.39,3.89
HR 3845,,9.66425943,-1.14265722,275.71,3.9
HR 4390,,11.35012284,-54.49101395,321.34,3.9
HR 5089,,13.5174079,-39.40727983,1254.47,3.9
HR 1251,,4.05260466,5.98930909,129.22,3.91
HR 3314,,8.42768636,-3.90636482,125.01,3.91
HR 4743,,12.46733655,-50.2306048,443.16,3.91
HR 5605,,15.08530713,-47.05119386,497.2,3.91
HR 5787,,15.59209426,-14.78955365,152.27,3.91
HR 6092,,16.3290133,46.31327084,314.53,3.91
HR 6324,,17.00483505,30.92633926,162.76,3.92
HR 7340,,19.36121535,-17.84725155,121.75,3.92
HR 8131,,21.26372131,5.2480739,186.27,3.92
HR 100,,0.43669894,-43.67990933,76.73,3.93
HR 440,,1.5208282,-49.07307701,147.25,3.93
HR 854,,2.90429513,52.76248991,248.03,3.93
HR 1463,,4.60531682,-3.352448,586.62,3.93
HR 3024,,7.69699889,-72.60613528,133.89,3.93
HR 4337,,11.14316545,-58.97504198,5930.24,3.93
HR 5993,,16.11345346,-20.66913479,423.59,3.93
HR 6714,,18.01075431,2.93158759,1418.1,3.93
HR 338,,1.13973891,-55.24583235,279.73,3.94
HR 2970,,7.68746574,-9.55108315,144.26,3.94
HR 2996,,7.73013114,-28.9548352,32616334.4,3.94
HR 3461,,8.7447528,18.15486399,136.07,3.94
HR 8028,,20.95289212,41.16719384,355.69,3.94
HR 580,,2.05727509,72.42123962,162.11,3.95
HR 2429,,6.61138858,-19.25570928,64.7,3.95
